Qty,Sale Price,UPC
1,$299.99,194466240534
1,$299.99,194466240503
1,$279.99,190450980905
1,$279.99,190450980899
1,$279.99,193177734141
1,$279.99,190450980882
1,$279.99,193177734134
1,$279.99,190450980875
1,$279.99,193177734127
1,$299.99,194476696291
1,$299.99,194476696284
1,$299.99,194476696277
1,$251.99,193177738057
1,$251.99,193177738040
1,$251.99,193177738033
1,$267.99,195718416950
1,$267.99,195718416943
1,$169.99,190450980554
1,$255.99,194466532660
1,$255.99,194466532653
1,$216.99,193177289764
1,$216.99,193177289740
1,$149.99,889049839020
1,$199.99,195718418008
2,$199.99,195718417971
1,$195.99,193177517690
1,$195.99,193177736305
1,$195.99,193177517577
1,$195.99,193177517560
1,$195.99,193177736282
1,$195.99,193177517553
1,$195.99,193177736275
1,$195.99,193177517546
2,$195.99,193177517539
1,$181.99,193177517508
1,$181.99,193177517430
1,$181.99,193177517423
1,$181.99,193177517485
1,$181.99,193177517416
1,$181.99,193177517478
1,$181.99,193177517393
1,$99.99,190450295160
1,$69.99,847165059111
